id,player_id,game_date,amount,currency,provider_id,game_id
1,523,2023-05-06,36.56,USD,4,6
2,705,2023-12-17,397.19,GBP,5,14
3,504,2023-09-23,194.37,USD,2,42
4,207,2023-11-06,378.52,GBP,7,15
5,161,2023-08-12,28.01,EUR,2,36
6,593,2024-02-09,397.86,GBP,1,16
7,629,2023-12-23,446.46,GBP,5,34
8,652,2024-01-05,153.83,RUB,4,43
9,740,2023-10-19,347.93,USD,6,40
10,430,2023-03-22,484.22,RUB,3,9
11,457,2023-03-26,256.92,GBP,8,37
12,496,2023-08-04,99.17,GBP,7,32
13,823,2024-01-07,82.06,USD,2,12
14,492,2023-05-02,473.27,RUB,6,35
15,313,2023-06-27,139.78,GBP,10,49
16,521,2023-05-22,169.49,GBP,10,19
17,377,2023-02-01,200.76,RUB,8,6
18,586,2023-01-18,306.69,USD,6,1
19,248,2023-03-19,332.97,GBP,4,13
20,372,2023-03-09,237.71,EUR,10,48
21,566,2024-01-29,432.81,RUB,10,1
22,955,2023-08-07,169.32,USD,2,26
23,266,2023-02-04,218.99,EUR,4,7
24,521,2023-09-14,136.3,EUR,8,38
25,725,2024-01-07,60.68,EUR,2,2
26,569,2023-11-12,448.31,USD,5,34
27,254,2023-06-23,267.15,RUB,7,9
28,350,2023-03-10,60.88,USD,6,46
29,424,2024-02-10,119.83,USD,5,4
30,835,2023-11-28,290.59,USD,4,26
31,479,2023-01-02,103.09,USD,8,2
32,818,2024-01-16,395.23,EUR,3,23
33,443,2023-09-28,1.74,RUB,5,42
34,979,2023-12-19,265.56,GBP,2,43
35,810,2023-05-19,135.39,RUB,3,42
36,786,2023-03-27,148.11,RUB,2,35
37,797,2023-03-04,486.96,EUR,9,31
38,107,2023-02-07,189.98,USD,10,17
39,632,2023-10-03,271.16,GBP,3,39
40,549,2023-02-27,84.54,USD,9,49
41,820,2023-09-25,139.0,RUB,9,40
42,105,2024-01-30,147.91,GBP,1,13
43,172,2024-01-27,200.51,USD,1,18
44,35,2023-07-04,328.79,RUB,10,41
45,64,2023-10-19,352.24,RUB,10,23
46,13,2023-11-06,128.94,RUB,7,41
47,143,2023-05-22,193.16,GBP,4,22
48,830,2023-06-03,50.3,RUB,8,35
49,376,2023-02-11,441.5,EUR,8,21
